,column,nulls,p_nulls,codebook_article,unique_column,factor
0,insurgency_group,0,0.0,,,
1,groups_baad,731,0.8393,,,
2,groups_forge,457,0.5247,,,
3,groups_rtg,557,0.6395,,,
4,groups_gsw,621,0.713,,,
5,groups_good,860,0.9874,,,
6,groups_mas,639,0.7336,,,
7,groups_war,627,0.7199,,,
8,rtg_ffund,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_ffund,Funding
9,rtg_teraff,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_teraff,Political Activity
10,rtg_ccodecow,559,0.6418,RTG (Reputation of Terror Groups) Dataset,rtg_ccodecow,Country
11,rtg_media,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_media,Communication
12,rtg_international,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_international,Territory
13,rtg_outnegrep,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_outnegrep,Reputation
14,rtg_educcaus,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_educcaus,Casualties
15,rtg_logpop,562,0.6452,RTG (Reputation of Terror Groups) Dataset,rtg_logpop,Population
16,rtg_left,599,0.6877,RTG (Reputation of Terror Groups) Dataset,rtg_left,Ideology
17,rtg_intnegrep,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_intnegrep,Reputation
18,rtg_pgood,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_pgood,Public Services
19,rtg_propertycount,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_propertycount,Targets
20,rtg_politics,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_politics,Political Activity
21,rtg_govtargcount,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_govtargcount,Targets
22,rtg_endedtype,561,0.6441,RTG (Reputation of Terror Groups) Dataset,rtg_endedtype,Ending
23,rtg_nmbrtrr,559,0.6418,RTG (Reputation of Terror Groups) Dataset,rtg_nmbrtrr,Other Groups
24,rtg_intposrep,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_intposrep,Reputation
25,rtg_nkillter,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_nkillter,Killed
26,rtg_age,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_age,Age
27,rtg_tcode,557,0.6395,RTG (Reputation of Terror Groups) Dataset,rtg_tcode,Group Code
28,rtg_cleavage,599,0.6877,RTG (Reputation of Terror Groups) Dataset,rtg_cleavage,Type
