,0
0,Abu Sayyaf Group (ASG)
1,Al-Aqsa Martyrs Brigade
2,Al-Fatah
3,Al-Gama'at Al-Islamiyya (IG)
4,Al-Ittihaad Al-Islami (AIAI)
5,Al-Qa'ida
6,Al-Qa'ida in the Arabian Peninsula (AQAP)
7,All Tripura Tiger Force (ATTF)
8,Ansar Al-Islam
9,Armed Forces Revolutionary Council (AFRC)
10,Armed Islamic Group (GIA)
11,Democratic Front for the Liberation of Rwanda (FDLR)
12,Baloch Liberation Army (BLA)
13,Black Widows
14,Communist Party of Nepal- Maoist (CPN-M)
15,Eastern Turkistan Islamic Movement (ETIM)
16,Free Aceh Movement (GAM)
17,The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC)
18,Hamas (Islamic Resistance Movement)
19,Hizballah
20,Islamic Army in Iraq (al-Jaish al-Islami Fi al-Iraq)
21,Islamic Jihad Group (IJG)
22,Islamic Movement of Uzbekistan (IMU)
23,Karen National Union
24,Kosovo Liberation Army (KLA)
25,Kurdistan Workers' Party (PKK)
26,Liberation Tigers of Tamil Eelam (LTTE)
27,Lord's Resistance Army (LRA)
28,Mahdi Army
29,Maoist Communist Center (MCC)
30,Moro Islamic Liberation Front (MILF)
31,Moro National Liberation Front (MNLF)
32,Movement for Democracy and Justice in Chad (MDJT)
33,Mujahedin-e Khalq (MEK)
34,National Democratic Front of Bodoland (NDFB)
35,National Liberation Army of Colombia (ELN)
36,National Liberation Front of Tripura (NLFT)
37,Islamic State of Iraq and al Sham (ISIS)
38,Oromo Liberation Front
39,Purbo Banglar Communist Party
40,Palestinian Islamic Jihad (PIJ)
41,People's War Group (PWG)
42,Popular Front for the Liberation of Palestine (PFLP)
43,Popular Liberation Army (EPL)
44,Popular Resistance Committees
45,Real Irish Republican Army (RIRA)
46,Revolutionary Armed Forces of Colombia (FARC)
47,Revolutionary United Front (RUF)
48,Salafist Group for Preaching and Fighting (GSPC)
49,Shining Path (SL)
50,Sudan People's Liberation Army (SPLA)
51,Taliban
52,National Union for the Total Independence of Angola (UNITA)
53,United Liberation Front of Assam (ULFA)
54,United Tajik Opposition (UTO)
55,Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)
56,Ogaden National Liberation Front (ONLF)
57,Communist Party of India - Maoist (CPI-M)
58,"Communist Party of the Philippines, Marxist-Leninist (CPP-ML)"
59,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
60,Kachin Independence Army (KIA)
61,Allied Democratic Forces (ADF)
62,Restoration Council of Shan States
63,United Front For Democratic Change (FUC)
64,Convention of Patriots for Justice and Peace
65,Shan State Progressive Party
66,Al-Sunna Wal Jamma
67,Eritrean Islamic Jihad Movement (EIJM)
68,God's Army
69,National Socialist Council of Nagaland-Khaplang (NSCN-K)
70,People's Liberation Army (PLA)
71,Jundallah
72,Kangleipak Communist Party (KCP)
73,United National Liberation Front (UNLF)
74,Allied Democratic Forces of Guinea (RDFG)
75,National Council for Defense of Democracy (NCDD)
76,Niger Delta People's Volunteer Force (NDPVF)
77,Al-Qa'ida in the Lands of the Islamic Maghreb (AQLIM)
78,Karenni National Progressive Party
79,People's Revolutionary Party of Kangleipak (PREPAK)
80,People's United Liberation Front (PULF)
81,Free Syrian Army
82,Revolutionary Front for an Independent East Timor (FRETILIN)
83,Kurdistan Free Life Party
84,South Sudan Liberation Army (SSLA)
85,Lashkar-E-Islam (Pakistan)
86,Congolese Rally for Democracy (RCD)
87,Islamic Courts Union (ICU)
88,Patriotic Movement of Ivory Coast (MPCI)
89,Tehrik-i-Taliban Pakistan (TTP)
90,Al-Shabaab
91,Boko Haram
92,Tehreek-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)
93,Justice and Equality Movement (JEM)
94,Forces Nouvelles (FN)
95,Movement for the Liberation of Congo (MLC)
96,National Liberation Army (NLA) (Macedonia)
97,Movement of Niger People for Justice (MNJ)
98,Cocoyes
99,Rally of Democratic Forces (RAFD)
100,Front for the Restoration of Unity and Democracy - Ahmed Dini Faction
101,National Front For The Liberation of Haiti
102,Ivorian Movement for the Greater West (MPIGO)
103,Baloch Republican Army (BRA)
104,Bunda Dia Kongo (BDK)
105,May 23 Democratic Alliance for Change - Ibrahim Bahanga Faction
106,Ntsiloulous
107,National Congress for the Defense of the People (CNDP)
108,"Military Junta for the Consolidation of Democracy, Peace and Justice"
109,Movement for Democracy in Liberia (MODEL)
110,Somali Reconciliation and Restoration Council (SRRC)
111,Sudan Liberation Movement/Army-Unity
112,Caucasus Emirate
113,Liberians United for Reconciliation and Democracy (LURD)
114,Garo National Liberation Army
115,Movement of Democratic Forces of Casamance
116,Hizbul Al Islam (Somalia)
117,National Redemption Front
118,The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA)
119,Union of Democratic Forces
120,Union of Forces for Democracy and Development (UFDD)
121,West Side Boys
122,Sudan Liberation Movement
123,National Alliance (CHAD)
124,Bangsamoro Islamic Freedom Fighters (BIFF)
125,Sudan Liberation Movement/Army - Minni Minawi Faction
126,Armed Forces for a Federal Republic (FARF)
127,Harakat Ras Kamboni
128,Myanmar National Democratic Alliance Army
129,Union of Forces for the Resistance (UFR)
130,Democratic Karen Buddhist Army Brigade 5
131,South Sudan Defence Movement/Army
132,Popular Front for National Renaissance (PFNR)
133,Sudan People's Liberation Movement-North
134,Al-Nusrah Front
135,Ansar Al-Dine (Mali)
136,Azawad National Liberation Movement (MNLA)
137,M23
138,Movement for Oneness and Jihad in West Africa (MUJAO)
139,Sudan Revolutionary Front
