,0
0,Movement of the Islamic Revolution/Uprising of Afghanistan
1,Islamic Movement
2,Islamic Party of Afghanistan
3,Islamic Party of Afghanistan - Khalis faction
4,Unity Party
5,Islamic Union for the Freedom of Afghanistan
6,Afghanistan National Liberation Front
7,Islamic Society of Afghanistan
8,National Islamic Movement
9,National Islamic Front of Afghanistan
10,Military faction (forces of Shahnawaz Tanay)
11,People's Democratic Republic of Afghanistan
12,Taleban
13,Armed Islamic Movement
14,Salafist Group for Preaching and Combat
15,Armed Islamic Group
16,Exile and Redemption
17,Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda
18,Front for the Liberation of the Enclave of Cabinda-Renewed
19,Union of Angolan Peoples
20,National Union for the Total Independence of Angola
21,People’s Revolutionary Army
22,Military faction (colorados)
23,Military faction (forces of Eduardo A. Lonardi Doucet)
24,Military faction (forces of Samuel Toranzo Calderón)
25,Montoneros
26,Military faction (forces of Suret Husseinov)
27,Special Police Brigade
28,Republic of Artsakh/Republic of Nagorno-Karabakh
29,People's Solidarity Association/Peace Force
30,National Liberation Army
31,National Revolutionary Movement
32,"FDA – Democratic Anti-Fascist Front (Frente Democrático Anti-Fascista), Popular Revolutionary Movement"
33,Autonomous Province of Western Bosnia
34,Croatian Republic of Bosnia-Herzegovina
35,Serbian Republic of Bosnia-Herzegovina
36,Popular Front
37,National Council for the Defense of Democracy
38,National Council for the Defense of Democracy-Forces for the Defense of Democracy
39,National Liberation Front
40,Military faction (forces loyal to Gervais Nyangoma)
41,Party for the Liberation of the Hutu People
42,Party for the Liberation of the Hutu People-Forces for National Liberation
43,"United National Front for an Independent, Neutral, Peaceful and Cooperative Cambodia"
44,
45,Kampuchean National United Front for National Salvation
46,Khmer People’s National Liberation Front
47,Khmer Rouge/Red Khmers
48,Military faction (forces of Ibrahim Saleh)
49,Union of the Populations of Cameroon
50,Convention of Patriots for Justice and Peace
51,Forces of Francois Bozize
52,Military faction (forces of André Kolingba)
53,Union of Democratic Forces for Unity
54,National Alliance
55,Revolutionary Democratic Council
56,National Council for Recovery
57,Committee of National Revival for Peace and Democracy
58,Armed Forces of the North
59,People’s Armed Forces
60,Armed Forces of the Federal Republic
61,Chadian Armed Forces
62,First Liberation Army
63,National Liberation Front of Chad
64,Rally for Democray and Liberty
65,Transitional Government of National Unity
66,Islamic Legion
67,Movement for Democracy and Development
68,Movement for Democracy and Justice in Chad
69,Military faction (forces of Maldoum Bada Abbas)
70,Movement for the National Salvation of Chad
71,Patriotic Salvation Movement
72,Popular Front for National Renaissance
73,Rally of Democratic Forces
74,Revolutionary Forces of 1 April
75,Second Liberation Army
76,Union Force for Democracy and Development
77,Union of Forces for the Resistance
78,"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)"
79,People's Liberation Army
80,People’s Liberation Army
81,Revolutionary Armed Forces of Colombia
82,19 April Movement
83,Anjouan People’s Movement/Republic of Anjouan
84,Presidential guard
85,Cobras
86,Cocoyes
87,Ninjas
88,Ntsiloulous
89,Serbian Republic of Krajina
90,Cuban Revolutionary Council
91,Cuban Revolution Movement (Fidelistas)
92,Front for the Restoration of Unity and Democracy
93,Front for the Restoration of Unity and Democracy - Ahmed Dini faction
94,Military faction (constitutionalists)
95,Alliance of Democratic Forces for the Liberation of Congo-Kinshasa
96,Kingdom of Kongo
97,National Congress for the Defence of the People
98,National Liberation Council
99,Congolese National Liberation Front
100,Independent Mining State of South Kasai
101,Movement for the Liberation of Congo
102,Congolese Rally for Democracy
103,State of Katanga
104,Islamic Group
105,Farabundo Marti Front for National Liberation
106,Farabundo Marti Popular Liberation Forces
107,Military faction (forces of Benjamin Mejia)
108,EIJM-AS: Eritrean Islamic Jihad Movement-Abu Suhail faction
109,Islamic Unity
110,Afar Liberation Front
111,Afar Revolutionary Democratic Unity Front
112,Ethiopian Democratic Union
113,Eritrean Liberation Front
114,Ethiopian People’s Democratic Movement
115,Eritrean People’s Liberation Front
116,Ethiopian People’s Revolutionary Democratic Front
117,Ethiopian People’s Revolutionary Party
118,Issa and Gurgura Liberation Front
119,Military faction (forces of Amsha Desta and Merid Negusie)
120,Military faction (forces of Mengistu Neway)
121,Ogaden Liberation Front
122,Oromo Liberation Front
123,Ogaden National Liberation Front
124,Somali Abo Liberation Front
125,Sidama Liberation Movement
126,Tigrean People’s Liberation Front
127,Western Somali Liberation Front
128,Military faction (forces loyal to Léon M'Ba)
129,National Revolutionary Council
130,National Guard and Mkhedrioni (Anti-Government Alliance)
131,Republic of Abkhazia
132,South Ossetian Soviet Democratic Republic
133,Zviadists
134,Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo)
135,Military faction (forces of Jerry John Rawlings)
136,National Liberation Council/Military faction (1966 coup)
137,Guerilla Army of the Poor
138,Rebel Armed Forces
139,Revolutionary Armed Forces
140,Forces of Carlos Castillo Armas
141,Military Faction of Francisco Arana (Aranistas)
142,Revolultionary Organization of Armed People
143,Guatemalan National Revolutionary Unity
144,Rally of Democratic Forces of Guinea
145,"Military Junta for the Consolidation of Democracy, Peace and Justice"
146,National Front for the Liberation of Haiti
147,Military faction (forces of Himmler Rebu and Guy Francois)
148,Military faction (forces of Raol Cédras)
149,OP Lavalas (Chimères)
150,All Bodo Student’s Union
151,All Tripura Tiger Force
152,Communist Party of India
153,Communist Party of India-Maoist
154,Communist Party of India-Marxist-Leninist
155,Dima Halam Daogah - Black Widow faction
156,Jammu and Kashmir Liberation Front
157,Kangleipak Communist Party
158,Kuki National Front
159,Maoist Communist Centre
160,Mizo National Front
161,Bodo Security Force
162,National Democratic Front for Bodoland -  Ranjan Daimary faction
163,National Liberation Front of Tripura
164,Naga Nationalist Council
165,National Socialist Council of Nagaland
166,National Socialist Council of Nagaland- Khaplang faction
167,People's Revolutionary Party of Kangleipak
168,People's United Liberation Front
169,People’s War Group
170,Tripura National Volunteers
171,United Liberation Front of Assam
172,United National Liberation Front
173,Islamic State
174,Revolutionary Front for an Independent East Timor
175,Free Aceh Movement
176,Organization for a Free Papua
177,Permesta Movement
178,Revolutionary Government of the Indonesian Republic
179,Republic of South Moluccas
180,Arab Political and Cultural Organization
181,God’s Army
182,Republic of Kurdistan
183,People's Mujahideen
184,The Free Life Party of Kurdistan
185,al-Mahdi Army
186,Supporters of Islam
187,The Monotheism and Jihad Group
188,Kurdish Democratic Party
189,Kurdistan Democratic Party-Provisional Command
190,Patriotic Union of Kurdistan
191,Islamic Army of Iraq
192,Supreme Council for Islamic Revolution in Iraq
193,Al-Aqsa Martyrs' Brigades
194,Palestinian National Liberation Movement
195,Islamic Resistance Movement
196,Hezbollah
197,Popular Front for the Liberation of Palestine
198,Popular Front for the Liberation of Palestine – General Command
199,Palestinian Islamic Jihad
200,Palestine Liberation Organization
201,Palestinian National Authority
202,Rejectionist Front
203,Impartial Defense and Security Forces - Ivory Coast
204,New Forces
205,Movement for Justice and Peace
206,Patriotic Movement of Ivory Coast
207,Ivorian Movement for the Greater West
208,Military faction (forces of Hezekiah Ochuka)
209,Lao Resistance Movement
210,Neutralists
211,Pathet Lao
212,Lebanese Resistance Detachment
213,Forces of Michel Aoun
214,Independent Nasserite Movement
215,Lebanese Arab Army
216,Lebanese Forces
217,Lebanese Forces - Hobeika faction
218,Lebanese National Movement
219,National Union Front
220,Military faction
221,Independent National Patriotic Front of Liberia
222,Liberians United for Reconciliation and Democracy
223,Military faction (forces of Samuel Doe)
224,Movement for Democracy in Liberia
225,National Patriotic Front of Liberia
226,Forces of Muammar Gaddafi
227,National Transitional Council
228,National Movement for the Independence of Madagascar
229,Clandestine Communist Organization
230,Communist Party of Malaya
231,May 23 Democratic Alliance for Change - Ibrahim Bahanga faction
232,Islamic Arab Front of Azawad
233,Popular Movement for the Liberation of Azawad
234,Popular Front for the Liberation of Saguia el Hamra and Rio de Oro
235,Popular Revolutionary Army
236,Zapatista National Liberation Army
237,Dniestr Republic
238,Military faction (Mohammaed Medbouh)
239,Mozambican National Resistance
240,All-Burma Students Democratic Front
241,Arakan Liberation Party
242,Arakan National Liberation Party
243,Arakan People's Liberation Party
244,Arakan Rohingya Islamic Front
245,Beik Mon Army
246,Communist Party of Arakan
247,Communist Party of Burma
248,Communist Party of Burma-Red Flag
249,Democratic Karen Buddhist Army Brigade 5
250,God's Army
251,Kachin Independence Organization
252,Karenni National Progressive Party
253,Karen National Union
254,Karen National United Party
255,Lahu National Unity Party
256,Mon Freedom League-Mon United Front
257,Myanmar National Democratic Alliance Army
258,Mon People’s Solidarity Group
259,Mong Tai Army
260,Mujahid Party
261,New Mon State Party
262,Brave Young Warriors
263,Pawngywng National Defense Force
264,"People's Volunteer Organization-""White Band"" faction"
265,Restoration Council of Shan States
266,Rohingya Patriotic Front
267,Rohingya Solidarity Organisation
268,Shan National United Front
269,Shan State Army
270,Shan State Independence Army
271,Shan State Nationalities Liberation Organization
272,Shan State Progress Party
273,Shan State Revolutionary Army
274,Shan United Revolutionary Army
275,Tailand Revolutionary Council
276,United Wa State Army
277,Communist Party of Nepal-Maoist
278,Nepali Congress
279,Contras/Nicaraguan Democratic Forces
280,Sandinista National Liberation Front
281,Coordination of the Armed Resistance
282,Democratic Front for Renewal
283,Aїr and Azawad Liberation Front
284,Niger Movement for Justice
285,Union of Forces of the Armed Resistance
286,Followers of the Prophet
287,People Committed to Propagating the Prophet's Teachings and Jihad
288,Military faction (forces of Patrick Nzeogwu)
289,Niger Delta People’s Volunteer Force
290,Republic of Biafra
291,Popular Front for the Liberation of the Occupied Arab Gulf
292,State of Oman/Free Oman
293,Baloch Unity
294,Balochistan Liberation Army
295,Baloch Liberation Front
296,Balochistan Republican Army
297,Mohajir National Movement
298,Liberation Force
299,Taleban Movement of Pakistan
300,Military faction (forces of Moisés Giroldi)
301,Bougainville Revolutionary Army
302,Military faction (forces of Alfredo Stroessner)
303,Military faction (forces of Andres Rodriguez)
304,"Opposition coalition (Febreristas, Liberals and Communists)"
305,Movement of the Revolutionary Left
306,Tupac Amaru Revolutionary Movement
307,Shining Path
308,Abu Sayyaf Group
309,Communist Party of the Philippines
310,Moro Islamic Liberation Front
311,"Military faction (forces of Honasan, Abenina & Zumel)"
312,Mindanao Independence Movement
313,Moro National Liberation Front
314,Moro National Liberation Front - Nur Misauri faction
315,National Salvation Front
316,Chechen Republic of Ichkeria (Republic of Chechnya)
317,Forces of the Caucasus Emirate
318,Parliamentary Forces
319,Wahhabi movement of the Buinaksk district (Republic of Dagestan)
320,Army for the Liberation of Rwanda
321,Democratic Liberation Forces of Rwanda
322,Rwandan Patriotic Front
323,The Salafi groups which practice hisba
324,Movement of the Democratic Forces of the Casamance
325,Armed Forces Revolutionary Council
326,Kamajors
327,Revolutionary United Front
328,West Side Boys
329,Al-Shabaab
330,Supreme Islamic Council of Somalia
331,Harakat Ras Kamboni
332,Islamic Party
333,Somali National Movement
334,Somali Patriotic Movement
335,Somali Reconciliation and Restoration Council
336,Somali Salvation Democratic Front
337,United Somali Congress/Somali National Alliance
338,United Somali Congress
339,African National Congress
340,South West Africa People’s Organization
341,Yemenite Socialist Party - Abdul Fattah Ismail faction
342,Basque Nation and Liberty
343,Eelam People's Revolutionary Liberation Front
344,People's Liberation Front
345,Liberation Tigers of Tamil Eelam
346,Tamil Eelam Liberation Organization
347,Islamic Charter Front
348,Justice and Equality Movement
349,National Democratic Alliance
350,National Redemption Front
351,Republic of South Sudan
352,Sudan Liberation Movement/Army
353,Sudan Liberation Movement/Army - Minni Minawi faction
354,Sudan Liberation Movement/Army-Unity
355,Sudanese People’s Liberation Movement/Army
356,Sudan People's Liberation Movement-North
357,South Sudan Defence Movement/Army (Forces of George Athor)
358,Anya Nya
359,South Sudan Liberation Movement/ Army
360,Sudanese Communist Party
361,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)
362,Muslim Brotherhood
363,Islamic Movement of Uzbekistan
364,United Tajik Opposition
365,Communist Party of Thailand
366,Patani insurgents
367,Togolese Movement for Democracy
368,Muslim Society
369,Tunisian Armed Resistance
370,Revolutionary Left
371,Maoist Communist Party
372,Kurdistan Worker's Party
373,Alliance of Democratic Forces
374,Front for National Salvation
375,Former Uganda National Army
376,Holy Spirit Movement
377,Special Force
378,Lord's Army
379,Uganda Democratic Christian Army
380,Military faction (forces of Charles Arube)
381,Military faction (forces of Idi Amin)
382,Popular Resistance Army
383,Uganda Freedom Movement
384,Uganda National Liberation Front
385,Ugandan National Rescure Front
386,Uganda National Rescue Front II
387,Uganda People's Army
388,Ugandan People’s Democratic Army
389,West Nile Bank Front
390,Provisional Irish Republican Army
391,Real Irish Republican Army
392,Movement of National Liberation/Tupamaros
393,Puerto Rican Nationalist Party
394,Azerbaijani Popular Front
395,United Democratic Resistance Movement
396,Forest Brothers
397,Latvian National Guerilla Association
398,Association of the Latvian Fatherland Guards
399,Republic of Armenia (Armenian National Movement)
400,Ukraine Partisan Army
401,Jihad Islamic Group
402,Red Flag
403,Military faction (forces of Hugo Chávez)
404,Military Faction of 1962 (Lieutenant Commander Pedro Silva)
405,Al-Qaida in the Arabian Peninsula
406,Democratic Republic of Yemen
407,National Democratic Front
408,Royalists
409,Republic of Croatia
410,Republic of Slovenia
411,Kosovo Liberation Army
412,Patriotic Front
413,Zimbabwe African National Union
414,Zimbabwe African People’s Union
