,0
0,1 May Group
1,16 January Organization for the Liberation of Tripoli
2,2 April Group
3,20 December Movement (M-20)
4,31 January People's Front (FP-31)
5,Abdullah Azzam Brigades
6,Abu Hafs al-Masri Brigades
7,Abu Nidal Organization (ANO)
8,Abu Sayyaf Group (ASG)
9,Action Directe
10,Adivasi National Liberation Army (ANLA)
11,Africa Marine Commando
12,African National Congress (South Africa)
13,Afrikaner Resistance Movement (AWB)
14,Al Jihad
15,Al Zulfikar
16,Al-Adl Wal Ihsane
17,Al-Aqsa Martyrs Brigade
18,Al-Fatah
19,Al-Gama'at al-Islamiyya (IG)
20,Al-Ittihaad al-Islami (AIAI)
21,Al-Mansoorian
22,Al-Qa'ida in Saudi Arabia
23,Al-Qa'ida in Yemen
24,Al-Qa`ida
25,Al-Qa`ida in Iraq
26,Al-Qa`ida in the Arabian Peninsula (AQAP)
27,Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM)
28,Al-Shabaab
29,Al-Umar Mujahideen
30,Albanian National Army (ANA)
31,Alex Boncayao Brigade (ABB)
32,Alfaro Vive
33,All Burma Students' Democratic Front (ABSDF)
34,All India Sikh Students Federation (AISSF)
35,All Tripura Tiger Force (ATTF)
36,Allied Democratic Forces (ADF)
37,Amal
38,America Battalion
39,Americans for a Competent Federal Judicial System
40,Animal Liberation Front (ALF)
41,Ansar al-Islam
42,Ansar al-Sunna
43,Anti-Authority Group (Greece)
44,Anti-Communist Commando of the South
45,Anti-State Justice
46,Anti-terrorist Liberation Group (GAL)
47,April 6th Liberation Movement
48,Arab Revolution/Liberation Vanguard Organization
49,Armata di Liberazione Naziunale (ALN)
50,Armed Falange
51,Armed Forces of the Chechen Republic of Ichkeria
52,Armed Group for the Liberation of Guadeloupe (GLAG)
53,Armed Islamic Group (GIA)
54,Armed Revolutionary Nuclei (NAR)
55,Armenian Secret Army for the Liberation of Armenia
56,Army of God
57,Aryan Nation
58,Aryan Republican Army
59,Asa'ib Ahl al-Haqq
60,Athens and Thessaloniki Arsonist Nuclei
61,Aum Shinri Kyo
62,Autonomous Anti-Capitalist Commandos (CAA)
63,Autonomy (Italy)
64,Awami League
65,Azania People's Organization (AZAPO)
66,Babbar Khalsa International (BKI)
67,Baloch Liberation Army (BLA)
68,Baloch Liberation Front (BLF)
69,Baloch Republican Army (BRA)
70,Balochistan Liberation United Front (BLUF)
71,Bangladesh Nationalist Party (BNP)
72,Bangladesh Sarbahara Party
73,Barisan Revolusi Nasional (BRN)
74,Basque Fatherland and Freedom (ETA)
75,Beirut Martyrs Battalion
76,Bhinderanwale Tiger Force of Khalistan (BTHK)
77,Black Hand (Colombia)
78,Black Panther Group (Palestinian)
79,Black September II
80,Black Star
81,Black Widows
82,Bodo Liberation Tigers (BLT)
83,Boko Haram
84,Bolivian Socialist Falange
85,Bougainville Revolutionary Army (BRA)
86,Breton Liberation Front (FLB)
87,Brunswijk Jungle Commando
88,CCCCC
89,Cambodian Freedom Fighters (CFF)
90,Caribbean Revolutionary Alliance (ARC)
91,Caucasus Emirate
92,Che Guevara Brigade
93,Che Guevara Guerrillas
94,Chilean Anti-Communist Alliance (ACHA)
95,Chukakuha (Middle Core Faction)
96,Cinchoneros Popular Liberation Movement
97,Coalition to Save the Preserves (CSP)
98,Colonel Karuna Faction
99,Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)
100,Communist Anti-Nuclear Front
101,Communist Combattant Cells (CCC) (Belgium)
102,Communist Party of India - Maoist (CPI-M)
103,Communist Party of India- Marxist-Leninist
104,Communist Party of Nepal- Maoist (CPN-M)
105,Conscientious Arsonists (CA)
106,Conspiracy of Cells of Fire
107,Continuity Irish Republican Army (CIRA)
108,Contras
109,Corsican National Liberation Front (FLNC)
110,Corsican National Liberation Front- Historic Channel
111,Cyprus Turkish People's Movement
112,Dagestani Shari'ah Jamaat
113,Death to Bazuqueros
114,Death to Kidnappers (MAS)
115,Deccan Mujahideen
116,Democratic Front for the Liberation of Palestine (DFLP)
117,Democratic Front for the Liberation of Rwanda (FDLR)
118,Democratic Karen Buddhist Army (DKBA)
119,Democratic Revolutionary Alliance (ARDE)
120,Democratic Revolutionary Party
121,Dev Sol
122,Devrimici Halk Kurtulus Cephesi (DHKP/C)
123,Dima Halao Daoga (DHD)
124,Dishmish Regiment
125,Diyala Salvation Council
126,Earth Liberation Front (ELF)
127,Eelam People's Revolutionary Liberation Front (EPRLF)
128,Ein Tyrol (One Tyrol)
129,Eritrean Peoples Liberation Front
130,Eva Peron Organization
131,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)
132,Ex-Somoza National Guard
133,Farabundo Marti National Liberation Front (FMLN)
134,Fatah Hawks
135,February 28 Popular League (El Salvador)
136,February 9 Group
137,Fedayeen Khalq (People's Commandos)
138,Fighting Guerrilla Formation
139,First of October Antifascist Resistance Group (GRAPO)
140,Force 17
141,Forces for the Defense of Democracy (FDD)
142,Free Aceh Movement (GAM)
143,Free Galician People's Guerrilla Army
144,Free Papua Movement (OPM-Organisasi Papua Merdeka)
145,Front for the Liberation of Lebanon from Foreigners
146,Front for the Liberation of the Enclave of Cabinda (FLEC)
147,Front for the Restoration of Unity and Democracy
148,Fuerzas Armadas de Liberacion Nacional (FALN)
149,Garo National Liberation Army
150,Gracchus Babeuf
151,Great Eastern Islamic Raiders Front (IBDA-C)
152,Grey Wolves
153,Guadeloupe Liberation Army
154,Guatemalan Labor Party (PGT)
155,Guatemalan National Revolutionary Unity (URNG)
156,Guerrilla Army of the Poor (EGP)
157,Guerrilla Forces for Liberation
158,Gurkha National Liberation Front (GNLF)
159,Hamas (Islamic Resistance Movement)
160,Haqqani Network
161,Harkat ul Ansar
162,Harkatul Jihad-e-Islami
163,Hekla Reception Committee-Initiative for More Social Eruptions
164,Hezb-e Wahdat-e Islami-yi Afghanistan
165,Hizb-I-Islami
166,Hizballah
167,Hizbul Mujahideen (HM)
168,Hizbul al Islam (Somalia)
169,Holy Spirit Movement
170,Illuminating Paths of Solidarity
171,Indian Mujahideen
172,Indipendenza
173,Informal Anarchist Federation
174,Inkatha Freedom Party (IFP)
175,Institutional Revolutionary Party (PRI)
176,Iparretarrak (IK)
177,Irish National Liberation Army (INLA)
178,Irish People's Liberation Organization (IPLO)
179,Irish Republican Army (IRA)
180,Islambouli Brigades of al-Qa'ida
181,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)
182,Islamic Courts Union (ICU)
183,Islamic Salvation Front (FIS)
184,Islamic State of Iraq (ISI)
185,Jaime Bateman Cayon Group (JBC)
186,Jaish-e-Mohammad (JeM)
187,Jama'atul Mujahideen Bangladesh (JMB)
188,Jamaat-E-Islami (Bangladesh)
189,Jamaat-E-Islami (India/Pakistan)
190,Jamaat-al-Fuqra
191,Jamiat ul-Mujahedin (JuM)
192,Jammu and Kashmir Liberation Front
193,Janatantrik Terai Mukti Morcha (JTMM)
194,Janatantrik Terai Mukti Morcha- Goit (JTMM-G)
195,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)
196,Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)
197,Janjaweed
198,Jemaah Islamiya (JI)
199,Jewish Defense League (JDL)
200,Jharkhand Liberation Tigers (JLT)
201,Jund al-Sham for Tawhid and Jihad
202,Jundallah
203,Justice Commandos for the Armenian Genocide
204,Justice and Equality Movement (JEM)
205,Kach
206,Kachin Independence Army (KIA)
207,Kanak Socialist National Liberation Front
208,Kanglei Yawol Kanna Lup (KYKL)
209,Kangleipak Communist Party (KCP)
210,Karbi Longri North Cachar Liberation Front (KLNLF)
211,Karbi People's Liberation Tigers (KPLT)
212,Karen National Union
213,Kenya African National Union (KANU)
214,Keshet
215,Khalistan Commando Force
216,Khalistan Liberation Force
217,Khmer Rouge
218,King Street
219,Kisan Indian Organization
220,Kosovo Liberation Army (KLA)
221,Ku Klux Klan
222,Kurdish Democratic Party-Iraq (KDP)
223,Kurdistan Free Life Party
224,Kurdistan Freedom Hawks (TAK)
225,Kurdistan Workers' Party (PKK)
226,Landless Peasants' Movement (MST)
227,Lashkar-e-Islam (Pakistan)
228,Lashkar-e-Jhangvi
229,Lashkar-e-Taiba (LeT)
230,Laskar Jihad
231,Lebanese Armed Revolutionary Faction (LARF)
232,Lebanese Liberation Front
233,Lebanese National Resistance Front
234,Lesotho Liberation Army (LLA)
235,Liberation Tigers of Tamil Eelam (LTTE)
236,Liberians United for Reconciliation and Democracy (LURD)
237,Lord's Resistance Army (LRA)
238,Lorenzo Zelaya Revolutionary Front (LZRF)
239,Loyalist Volunteer Forces (LVF)
240,M-19 (Movement of April 19)
241,Macheteros
242,Madhesi Mukti Tigers (MMT)
243,Mahdi Army
244,Manuel Jose Arce Commando
245,Manuel Rodriguez Patriotic Front (FPMR)
246,Maoist Communist Center (MCC)
247,Maximiliano Gomez Revolutionary Brigade
248,Maximiliano Hernandez Martinez Brigade
249,May 15 Organization for the Liberation of Palestine
250,May 19 Communist Order
251,Mayi Mayi
252,Meibion Glyndwr
253,Misurasata Indian Organization
254,Mohajir National Movement
255,Montoneros Patria Libre
256,Morazanist Front for the Liberation of Honduras (FMLH)
257,Moro Islamic Liberation Front (MILF)
258,Moro National Liberation Front (MNLF)
259,Movement for the Emancipation of the Niger Delta (MEND)
260,Movement of Democratic Forces of Casamance
261,Movement of Niger People for Justice (MNJ)
262,Movement of the Revolutionary Left (MIR) (Chile)
263,Movement of the Revolutionary Left (MIR) (Peru)
264,Mozambique National Resistance Movement (MNR)
265,Mujahedeen Shura Council
266,Mujahedin-e Khalq (MEK)
267,Mujahideen Kashmir
268,Mujahideen Youth Movement (MYM)
269,Muslim Brotherhood
270,Muttahida Qami Movement (MQM)
271,National Congress for the Defense of the People (CNDP)
272,National Council for Defense of Democracy (NCDD)
273,National Democratic Front of Bodoland (NDFB)
274,National Front for the Salvation of Libya
275,National Liberation Army (NLA) (Macedonia)
276,National Liberation Army of Colombia (ELN)
277,National Liberation Front (FNL) (Burundi)
278,National Liberation Front of Tripura (NLFT)
279,National Patriotic Front of Liberia (NPFL)
280,National Socialist Council of Nagaland
281,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
282,National Socialist Council of Nagaland-Khaplang (NSCN-K)
283,National Union for the Total Independence of Angola (UNITA)
284,Naxalites
285,New Armenian Resistance
286,New People's Army (NPA)
287,Nicaraguan Democratic Force (FDN)
288,Ninjas
289,Ninth of June Organzation
290,November 17 Revolutionary Organization (N17RO)
291,November 21 Organization
292,OAS-MRP
293,Ogaden National Liberation Front (ONLF)
294,Oglaigh na hEireann
295,Omega-7
296,Orange Volunteers (OV)
297,Organization of Volunteers for the Puerto Rican Revolution
298,Orly Organization
299,Oromo Liberation Front
300,Pakistani People's Party (PPP)
301,Palestine Liberation Organization (PLO)
302,Palestinian Islamic Jihad (PIJ)
303,Palestinian Revolution Forces
304,Party for the Liberation of the Hutu People (PALIPEHUTU)
305,Patria y Libertad (Fatherland and Liberty)
306,Patriotic Liberation Front
307,Patriotic Morazanista Front (FPM)
308,Patriotic Union of Kurdistan (PUK)
309,Pattani United Liberation Organization (PULO)
310,Peasant Self-Defense Group (ACCU)
311,Pedro Albizu Campos Revolutionary Forces
312,People Against Gangsterism and Drugs (PAGAD)
313,People's Committee against Police Atrocities (PCPA)
314,People's Fatherland Movement
315,People's Liberation Army (India)
316,People's Liberation Front (JVP)
317,People's Liberation Front of India
318,People's Revolutionary Army (ERP)
319,People's Revolutionary Command (CRP)
320,People's Revolutionary Organization
321,People's Revolutionary Party of Kangleipak (PREPAK)
322,People's United Liberation Front (PULF)
323,People's War Group (PWG)
324,Polisario Front
325,Popular Forces of April 25
326,Popular Front for Justice in the Congo
327,Popular Front for the Liberation of Palestine (PFLP)
328,Popular Liberation Army (EPL)
329,Popular Liberation Resistance Force
330,Popular Militia (Colombia)
331,Popular Movement for the Liberation of Angola
332,Popular Resistance Committees
333,Popular Revolutionary Army (Mexico)
334,Popular Revolutionary Bloc (BPR)
335,Prima Linea
336,Puerto Rican Armed Resistance
337,Punitive Leftist Front
338,Purbo Banglar Communist Party
339,Quintin Lame
340,Rahanwein Resistance Army (RRA)
341,Ranbir Sena
342,"Raul Ernesto Cruz Leon, Salvadorian"
343,Real Irish Republican Army (RIRA)
344,Rebel Armed Forces of Guatemala (FAR)
345,Recontras
346,Red Army Faction (RAF)
347,Red Brigades
348,Red Brigades Fighting Communist Party (BR-PCC)
349,Red Flag (Venezuela)
350,Red Hand Defenders (RHD)
351,Reform of the Armed Forces Movement
352,Resistenza
353,Revolutionary Armed Forces of Colombia (FARC)
354,Revolutionary Armed Forces of Nicaragua (FARN)
355,Revolutionary Front for National Liberation
356,Revolutionary Front for an Independent East Timor (FRETILIN)
357,Revolutionary Nuclei
358,Revolutionary Organization of People in Arms (ORPA)
359,Revolutionary Organization of Socialist Moslems
360,Revolutionary People's Struggle (ELA)
361,Revolutionary Popular Left
362,Revolutionary Struggle
363,Revolutionary United Front (RUF)
364,Revolutionary Workers Party
365,Revolutionary Workers' Council (Kakurokyo)
366,Ricardo Franco Front (Dissident FARC)
367,Right-Wing Death Squad
368,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs
369,Rodrigo Franco Command
370,Runda Kumpulan Kecil (RKK)
371,Rwanda Patriotic Front (RPF)
372,Salafia Jihadia
373,Salafist Group for Preaching and Fighting (GSPC)
374,Sandinista National Liberation Front (FSLN)
375,Sandinistas
376,Scottish National Liberation Army
377,Secret Anti-Communist Army (ESA)
378,"Senki (""Battle Flag"")"
379,September 11 Commandos
380,Shan United Revolutionary Army
381,Shanti Bahini - Peace Force
382,Shaykh Subhi Al-Salih Forces
383,Shining Path (SL)
384,Simon Bolivar Guerrilla Coordinating Board (CGSB)
385,Sindhu Desh Liberation Army (SDLA)
386,Sipah-e-Sahaba/Pakistan (SSP)
387,Soldiers of Truth
388,Somali National Movement
389,Somali Salvation Front (SSF)
390,South-West Africa People's Organization (SWAPO)
391,Southern Mobility Movement (Yemen)
392,Spanish Basque Battalion (BBE) (rightist)
393,Students Islamic Movement of India (SIMI)
394,Sudan Liberation Movement
395,Sudan People's Liberation Army (SPLA)
396,Sudanese People's Liberation Forces
397,Supreme Council for Islamic Revolution in Iraq (SCIRI)
398,Survivors of Golfech
399,Syrian Social Nationalist Party
400,Taliban
401,Tamil Eelam Liberation Organization (TELO)
402,Tanzim
403,Tawhid and Jihad
404,Tehrik-i-Taliban Pakistan (TTP)
405,Terai Army
406,Terra Lliure
407,Terror Against Terror
408,The Extraditables
409,The Justice Department
410,The Order (Silent Brotherhood)
411,Tigray Peoples Liberation Front (TPLF)
412,Tripura National Volunteers (TNV)
413,Tritiya Prastuti Committee (India)
414,Tupac Amaru Revolutionary Movement (MRTA)
415,Tupac Katari Guerrilla Army (EGTK)
416,Turkish Communist Party/Marxist (TKP-ML)
417,Turkish Hizballah
418,Turkish People's Liberation Army
