,0
0,MYA
1,IND
2,UGA
3,DRC
4,SIE
5,ETH
6,ISR
7,SAF
8,IRN
9,PHI
10,GRG
11,SUD
12,BOS
13,RUS
14,PNG
15,PAK
16,MAL
17,BUI
18,CHA
19,NEP
20,THI
21,NIR
22,CON
23,UKG
24,YUG
25,GRC
26,INS
27,YEM
28,TUR
29,MLD
30,GUA
31,ERI
32,BOL
33,COL
34,PER
35,ARG
36,SAL
37,SPN
38,MEX
39,ALG
40,NIC
41,MLI
42,ANG
43,FRN
44,RVN
45,POR
46,RWA
47,DJI
48,CAM
49,CEN
50,AFG
51,AZE
52,LBR
53,LEB
54,NTH
55,BNG
56,SRI
57,TRI
58,IRQ
59,ROK
60,SEN
61,UZB
62,CDI
63,URU
64,COM
65,TOG
66,CHL
67,CUB
68,DOM
69,EQG
70,GAB
71,GHA
72,GNB
73,KEN
74,LES
75,MOR
76,NIG
77,PAN
78,PAR
79,SOM
80,SYR
81,VEN
82,GUI
83,MAG
84,TAJ
85,YPR
86,COS
87,RUM
88,LAO
89,OMA
90,CHN
91,BFO
92,USA
93,MZM
94,TUN
95,SUR
96,GAM
97,CRO
98,EGY
99,HAI
100,CYP
101,MAC
102,ZIM
