insurgency_group,rtg_ffund,rtg_teraff,rtg_ccodecow,rtg_media,rtg_international,rtg_outnegrep,rtg_educcaus,rtg_logpop,rtg_left,rtg_intnegrep,rtg_pgood,rtg_propertycount,rtg_politics,rtg_govtargcount,rtg_endedtype,rtg_nmbrtrr,rtg_intposrep,rtg_nkillter,rtg_age,rtg_tcode,rtg_cleavage,rtg_logarea,rtg_loggdp,rtg_govcaus,rtg_rel,rtg_civcaus,rtg_nwound,rtg_civcausreal,rtg_eductargcount,rtg_rebel,rtg_nkill,rtg_terpwing,rtg_parterr,rtg_gname,rtg_peaksize,rtg_nat,rtg_broadgoal,rtg_logmil,rtg_endedtype2,rtg_reputation,rtg_frec,rtg_eductargexist,rtg_civtargcount,forge_splinterUCDP,forge_ethnic,forge_fightday,forge_ethnicity,forge_ccode,forge_ideolcom,forge_ideolright,forge_preorglab,forge_cname,forge_ideolnat,forge_preorgrel,forge_goalindep,forge_preorgfmr,forge_preorggov,forge_goalother,forge_preorg,forge_conflict_id,forge_foundloc,forge_splinter,forge_foundday,forge_preorgreb,forge_goaldem,forge_NSAdyadid,forge_preorgmvt,forge_ideolanti,forge_ideolrel,forge_gacronym,forge_fightyear,forge_goalrep,forge_foundmo,forge_ideolnote,forge_goalrights,forge_ideolleft,forge_preorgyou,forge_actorid,forge_preorgoth,forge_ideology,forge_preorgpar,forge_preorgmil,forge_merger,forge_dyadid,forge_goalchange,forge_goalnote,forge_gname,forge_preorgno,forge_goalauto,forge_ideoloth,forge_preorgname,forge_fightmo,forge_preorgfor,forge_preorgref,forge_religious,forge_religion,forge_preorgeth,forge_foundyear,forge_goalnominal,baad_terrcntrl,baad_torg,baad_fdrob,baad_fdkidnap,baad_lead_hierarch,baad_fddrugtk,baad_fdextort,baad_hb_iso_cc,baad_fdstate,baad_left,baad_hbccode,baad_fdsmuggl,baad_torg_year,baad_age,baad_org,baad_size_rec,baad_hbiso,baad_reli,baad_hbase,baad_ethn,baad_socsvcs,baad_year,baad_ucdpbd,mas_maxedu,mas_totalpopmin,mas_ethnic,mas_terrcontrol,mas_side_b,mas_location,mas_preconflict_health,mas_yearmin,mas_maxhealth,mas_communist,mas_yearmax,mas_preconflict_edu,gsw_target,gsw_wbcode,gsw_repression,gsw_lccode,gsw_year,gsw_location,gsw_campaign,gsw_cyear,war_id,war_acr,war_dyadperiod,war_terrcontrol,war_side_b,war_l1democracy,war_l1totalpop_log,war_confid,war_communist,war_side_a,war_year,war_location,war_ethnonsec,war_dyadid,war_obsid
Al-Qa'ida,0.0,0.0,770.0,1.0,0.0,0.0,0.0,4.7706847,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,Al-Qa`ida,3.0,13.56541,7.4602137,0.0,1.0,3.0,6.0,4.25,0.0,1.0,3.0,0.0,0.0,Al-Qa`ida,3.0,0.0,1.0,6.363028,0.0,0.0,0.0,0.0,2.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,28.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,700.0,0.0,28_1998,10.0,Al-Qa'ida,2.0,AFG,1.0,Afghanistan,0.0,0.0,1998.0,0.0,0.0,19.468287,0.0,0.0,al-Qaida [The Base],USA,0.0,2001.0,0.0,0.0,2002.0,0.0,,,,,,,,,USA-2001,USA,1.0,0.0,al-Qaida [The Base],1.0,19.458027,3270,0.0,"USA, Australia, Canada, France, Germany, Italy, Japan, Jordan, Netherlands, Poland",2001.0,USA,0.0,3270-1,EACD.2.2-1393
Al-Qa'ida in the Arabian Peninsula (AQAP),0.0,0.0,679.0,1.0,0.0,1.0,0.0,2.9970372,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,Al-Qa`ida in the Arabian Peninsula (AQAP),3.0,,7.688683,10.0,1.0,23.0,31.0,23.0,0.0,1.0,33.0,0.0,0.0,Al-Qa`ida in the Arabian Peninsula (AQAP),2.0,0.0,1.0,4.189655,0.0,0.0,0.0,0.0,2.0,,0.0,3.0,,678.0,0.0,0.0,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,1.0,2,230.0,,0.0,23.0,0.0,0.0,784.0,0.0,1.0,1.0,AQAP,2009.0,0.0,1.0,Salafist,0.0,0.0,0.0,881.0,0.0,1.0,0.0,0.0,1.0,459.0,1.0,establish Islamic State,Al-Qaida in the Arabian Peninsula,0.0,0.0,0.0,"al-Qaeda in Yemen, al-Qaeda's Saudi Arabian branch, Yemen Soldiers Brigade",11.0,0.0,0.0,1.0,5.0,0.0,2009.0,"overthrow incumbent government, establish Islamic State in Arabian Peninsula",0.0,29.0,0.0,1.0,1.0,0.0,0.0,887.0,0.0,0.0,679.0,0.0,29_2009,0.0,Al-Qa'ida in the Arabian Peninsula (AQAP),2.0,YEM,1.0,Yemen,0.0,0.0,2009.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Qa'ida in Saudi Arabia,0.0,0.0,670.0,0.0,0.0,1.0,0.0,3.1061268,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,Al-Qa'ida in Saudi Arabia,3.0,14.58083,9.891835,0.0,1.0,21.0,126.0,21.0,0.0,1.0,21.0,0.0,0.0,Al-Qa'ida in Saudi Arabia,2.0,0.0,1.0,5.2983174,0.0,0.0,0.0,0.0,6.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Qa'ida in Yemen,0.0,0.0,679.0,1.0,0.0,0.0,0.0,3.0276496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Al-Qa'ida in Yemen,3.0,,7.7124805,12.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,Al-Qa'ida in Yemen,3.0,0.0,0.0,4.189655,0.0,0.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Qa`ida in Iraq,1.0,0.0,645.0,1.0,0.0,0.0,0.0,3.2816074,0.0,3.0,0.0,3.0,0.0,4.0,0.0,5.0,1.0,1.0,1.0,Al-Qa`ida in Iraq,3.0,12.97656,8.035288,19.0,1.0,4.0,16.0,96.6,0.0,1.0,23.0,0.0,0.0,Al-Qa`ida in Iraq,3.0,0.0,0.0,5.6489744,0.0,1.0,1.0,0.0,3.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Qa'ida in the Lands of the Islamic Maghreb (AQLIM),1.0,0.0,615.0,1.0,1.0,2.0,2.0,3.5236099,0.0,1.0,0.0,29.0,0.0,50.0,0.0,2.0,1.0,29.0,6.0,Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM),3.0,14.68334,8.896334,249.0,1.0,19.0,579.0,9.5,1.0,1.0,268.0,0.0,0.0,Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM),3.0,0.0,0.0,4.9272537,0.0,0.0,0.0,1.0,19.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,1360.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0,615.0,0.0,1360_2007,0.0,Al-Qa'ida in the Lands of the Islamic Maghreb (AQLIM),2.0,DZA,1.0,Algeria,0.0,0.0,2007.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islambouli Brigades of al-Qa'ida,0.0,0.0,365.0,0.0,0.0,0.0,0.0,4.9698133,,0.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,5.0,5.0,Islambouli Brigades of al-Qa'ida,,16.64848,9.313633,9.0,,111.0,151.0,227.5,0.0,0.0,120.0,0.0,0.0,Islambouli Brigades of al-Qa'ida,,,,6.906755,1.0,0.0,0.0,0.0,4.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement of the Islamic Revolution/Uprising of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,5,333.0,Pakistan,,,0.0,0.0,731.0,0.0,0.0,1.0,Harakat-i Inqilab-i Islami-yi Afghanistan,1980.0,0.0,9.0,Islamist,0.0,0.0,1.0,293.0,0.0,1.0,0.0,0.0,0.0,725.0,1.0,,Movement of the Islamic Revolution/Uprising of Afghanistan,0.0,0.0,0.0,Muslim Youth,12.0,0.0,0.0,1.0,5.0,0.0,1978.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,16.466871,0.0,0.0,SAIRI,Iraq,,1982.0,,0.0,1996.0,,Soviet occupation,AFG,3.0,700.0,1979.0,Afghanistan,Afghan Resistance,0.0,IRQ-1982,IRQ,1.0,0.0,SAIRI,0.0,16.433132,1620.4,0.0,Iraq,1982.0,Iraq,0.0,1620.4-1,EACD.2.2-340
Supreme Council for Islamic Revolution in Iraq,0.0,1.0,645.0,1.0,0.0,0.0,0.0,2.9133244,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,7.0,Supreme Council for Islamic Revolution in Iraq (SCIRI),3.0,12.97656,,21.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,Supreme Council for Islamic Revolution in Iraq (SCIRI),3.0,0.0,0.0,6.0088134,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,645.0,0.0,0.0,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,"3,4,13",259.0,Tehran,,,0.0,0.0,298.0,1.0,0.0,1.0,SCIRI,1982.0,0.0,,,0.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0,1.0,521.0,1.0,,Supreme Council for Islamic Revolution in Iraq,0.0,0.0,0.0,"Party: al-Da'wa; Movement: Islamic Action Organization (also possibly Movement of the Iraqi Mujahideen, Islamic Movement in Iraq); Iraqi Shiite refugees in Iran",8.0,0.0,1.0,1.0,6.0,0.0,1982.0,"ouster of incumbent government, establish Iranian-style theocratic government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Sayyaf Group (ASG),1.0,0.0,840.0,0.0,0.0,1.0,0.0,4.2151313,0.0,3.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,Abu Sayyaf Group (ASG),3.0,12.60542,7.8119197,0.0,1.0,21.0,66.0,8.2,0.0,1.0,21.0,0.0,0.0,Abu Sayyaf Group (ASG),2.0,0.0,1.0,4.644391,0.0,1.0,1.0,0.0,6.0,1.0,0.0,3.0,,840.0,0.0,0.0,0.0,Philippines,1.0,0.0,1.0,0.0,0.0,0.0,1,308.0,"Basilan, Mindanao",1.0,,1.0,0.0,249.0,0.0,0.0,1.0,ASG,1993.0,0.0,,Wahhabi,0.0,0.0,0.0,277.0,0.0,1.0,0.0,0.0,0.0,658.0,0.0,,Abu Sayyaf Group,0.0,0.0,0.0,MNLF,5.0,0.0,0.0,1.0,5.0,0.0,1989.0,independent (Islamic) state for Moros,0.0,4.0,1.0,1.0,1.0,1.0,1.0,608.0,0.0,0.0,840.0,1.0,4_1998,7.0,Abu Sayyaf Group (ASG),2.0,PHL,1.0,Philippines,0.0,0.0,1998.0,55.0,0.0,18.07741,1.0,0.0,Abu Sayyaf,Philippines,0.0,1994.0,1.0,0.0,2003.0,0.0,,,,,,,,,PHI-1994,PHI,1.0,0.0,Abu Sayyaf,1.0,18.055641,2120,0.0,Philippines,1994.0,Philippines,0.0,2120-3,EACD.2.2-739
