,0
0,Active Forces
1,Afar insurgency
2,Afghan Resistance
3,Afghans
4,Albania Anti-Communist
5,Algerian Revolt/ National Liberation Front
6,Anti-Arap Moi
7,Anti-Banda
8,Anti-Burnham / Hoyte
9,Anti-Calderon
10,Anti-Ceaucescu rebels
11,Anti-Chiluba
12,Anti-Diouf
13,Anti-Doe rebels
14,Anti-Duvalier
15,Anti-Fujimori
16,Anti-Gayoom
17,Anti-Jaafar
18,Anti-Jimenez
19,Anti-Karamanlis
20,Anti-Khan
21,Anti-Khmer Rouge
22,Anti-Milosevic
23,Anti-Noriega
24,Anti-PRI
25,Anti-Pinochet Movement
26,Anti-Rawlings
27,Anti-Shamun
28,Anti-Suharto
29,Anti-Thaksin
30,Anya Nya
31,Argentiana coup plot
32,Argentina pro-democracy movement
33,Armed Forces for National Liberation (FALN)
34,Armenians in Nagorno-Karabakh
35,Baluchi rebels
36,Bangladesh Anti-Ershad
37,Belarus Anti-Communist
38,Belarus Regime Opposition
39,Bengalis
40,Benin Anti-Communist
41,Biafrans
42,Bolivian Anti-Junta
43,Bolivian Leftists
44,Bougainville Revolt
45,Buganda Tribe
46,Bulgaria Anti-Communist
47,Burma pro-democracy movement
48,CAR multiple factions
49,CPN-M/UPF
50,Cameroon anti-colonialist movement
51,Carnation Revolution
52,Cedar Revolution
53,Chad rebels
54,Chechen separatists
55,Conservative movement
56,Contras
57,Convention People's Party movement
58,Croatian Institutional Reform
59,Croatian nationalists
60,Croats
61,Cuban Revolution
62,Cultural Revolution Red Guards
63,Czech Anti-Soviet Occupation
64,Darul Islam
65,Democracy Movement
66,Denis Sassou Nguesso
67,Diretas ja
68,Dniestr
69,Dominican leftists
70,Druze resistance
71,ERP/ Monteneros
72,ETA
73,East Gemany Worker Uprising
74,East Germany pro-dem movement
75,Eritrean-led rebels
76,Ethniki Organosis Kyprios Agoniston
77,FLNC
78,"FLOSY, NLF in Aden"
79,FSLN
80,First Hutu Rebellion
81,Former Rebel Leaders
82,Franco-Madagascan
83,Freitilin
84,Frolinat
85,Front for the Liberation of Mozambique
86,GAM
87,Gamsakhurdia & Abkhazia
88,Greece Anti-Military
89,Hizballah
90,Hukbalahap Rebellion
91,Hundred Flowers Movement
92,Hungary Anti-Communist
93,Hungary Anti-Soviet Occupation
94,Hungary pro-dem movement
95,Hyderabad activists
96,IRA
97,Ifni war
98,Indian resistance
99,Indochina revolt
100,Indonesian Revolt
101,Indonesian leftists / Anti Sukarno
102,Iranian Mujahideen
103,Iranian Revolution
104,Iraqi insurgency
105,Islamic Salvation Front
106,JEM/SLA
107,JVP
108,Jewish resistance
109,KDP Kurds
110,KDPI
111,Kabila-ADFL
112,Kachin rebels
113,Karens
114,Kashmiri Muslim separatists
115,Katanga-led leftists
116,Khmer Rouge
117,Kifaya
118,Kosovo Albanian
119,Kosovo Albanian nationalist movement
120,Kurdish Secession against Sadam
121,Kurdish rebellion
122,Kyrgyzstan Democratic Movement
123,LRA
124,LTTE
125,LURD
126,Latvia pro-dem movement
127,Lebanon leftists
128,Liberals of 1949
129,Madagasar pro-democracy movement
130,Malayan Emergency
131,Mali Anti-Military
132,Marxist rebels (URNG)
133,Mau Mau Rebellion
134,Mizo Revolt
135,Mohajir
136,Moluccans
137,Mongolian Anti-communist
138,Moro National Liberation Front
139,Moroccan Independence War
140,Muslim Brotherhood
141,NFDLM secessionists
142,NPFL & ULIMO
143,Naga Rebellion
144,National Resistance Army
145,National Union Party
146,National patriotic forces
147,Naxalite rebellion
148,Nepalese Anti-government
149,New People's Army
150,Niger Anti-Military
151,Nigeria Anti-Military
152,Nigerian Independence Movement
153,Nigerian Muslim fundamentalists
154,North Vietnam (National Liberation Front) Anti-Occupation
155,North Vietnam (National Liberation Front) Anti-South Vietnam
156,Nyasaland African Congress
157,Ogoni movement
158,Orange Revolution
159,PAIGC
160,PF-ZAPU guerillas
161,PMIC
162,Pakistan pro-dem movement
163,Palestinian Liberation
164,Palestinian activists
165,Paraguay leftist rebellion
166,Pathet Lao
167,Patriotic Front
168,People Power
169,Pinochet-led rebels
170,Poland Anti-Communist I
171,Poland Anti-Communist II
172,Poland Warsaw worker uprising
173,Popular Democratic Army (UTO)
174,Popular Front for the Liberation of Oman and the Arab Gulf (PFLOAG)
175,Popular Movement for the Liberation of Angola
176,Poznan Protests
177,Pro-French Nationalists
178,Public Against Violence
179,RUF
180,Renamo
181,Revolutionary Armed Forces of Colombia and National Liberation Army
182,Rose Revolution
183,Royalists
184,Russia pro-dem movement
185,Rwandan independence
186,SPLA-Garang faction
187,SWAPO
188,Sacred Union
189,Sajudis/ Lithuanian pro-democracy movement/
190,Salvadoran Civil Conflict
191,Second Hutu Rebellion
192,Second Khmer Rouge
193,Second People Power Movement
194,Sendero Luminoso (The Shining Path) Senderista Insurgency
195,Serb militias
196,Shammar Tribe and pro-Western officers
197,Shanti Bahini
198,Shifta insurgency
199,Shiite rebellion
200,Sikh insurgency
201,Singing Revolution
202,Sino-Tibetan war
203,Slovenia Anti-Communist
204,Slovenian Independence
205,Solidarity
206,Somali rebels (Ogaden)
207,Somalia clan factions; SNM
208,Somalia militia insurgencies
209,South Africa First Defiance Campaign
210,South Africa Second Defiance Campaign
211,South Korea Anti-Junta
212,South Korea Anti-Military
213,South Korea Student Revolution
214,Taiwan pro-democracy movement
215,Taiwanese Revolt
216,Taliban Resistance
217,Taliban/ Anti-Government Forces
218,Tanzania pro-democracy movement
219,Tauregs
220,Thai communist rebels
221,Thai pro-dem movement
222,Thai student protests
223,The Stir
224,Third Hutu Rebellion
225,Tiananmen
226,Tibetan Uprising
227,Tibetan resistance
228,Tigrean People's Liberation Front
229,Timorese resistance
230,Tulip Revolution
231,Tunisian independence movement
232,Tupac Amaru Revolutionary Movement (MRTA) - Senderista Insurgency
233,Tupamaros
234,Tutsi rebels
235,Tutsi supremacists
236,UNITA
237,Ukrainian rebellion
238,Uruguay Anti-Military
239,Velvet Revolution
240,Watusi
241,West Papua Anti-Occupation
242,Western Sahara Freedom Movement (POLISARIO)
243,Yahya Family revolt
244,Yemen leftists
245,Yemeni insurgency
246,Yugoslavia student protests
247,Zambia Anti-Single Party
248,Zambia Anti-occupation
249,Zimbabwe African People's Union
