,0
0,ABSDF
1,ABSU
2,ADF
3,AFDL
4,AFRC
5,ALF
6,AMB
7,ANC
8,APCO
9,ARDUF
10,ATTF
11,Abu Sayyaf
12,Anti-government alliance
13,Anya Nya
14,Arakan People's Liberation Party
15,Arakan Rohingya Islamic Front
16,Autonomous Province of Western Bosnia
17,Azapo
18,Azerbaijani Popular Front
19,BCP
20,BDPS
21,BDSF/NDFB
22,BLTF
23,BMA
24,BPAC
25,BRA
26,Baluchi separatists
27,CCO
28,CNDD
29,CNDD-FDD
30,CNL
31,CNR
32,CPI
33,CPM
34,CPN-M/UPF
35,CPT
36,CRA
37,CSNPD
38,Cocoyes
39,Communist Party of Arakan
40,Communist Party of Malaya
41,Croatian Republic of Bosnia and Herzegovina
42,Croatian irregulars
43,DSE
44,Darul Islam Movement
45,Devrimci Sol
46,Dniestr Republic
47,EGP
48,EIJM
49,ELF
50,ELN
51,EOKA
52,EPDM
53,EPL
54,EPLF
55,EPRP
56,ERP
57,ETA
58,EZLN
59,Exile and Redemption
60,FAL
61,FAN
62,FAR
63,FARC
64,FARF
65,FARN
66,FARS
67,FDN/Contras
68,FDR
69,FDU
70,FIAA
71,FIS
72,FLAA
73,FLEC
74,FLN
75,FLNC
76,FLOSY
77,FMLN
78,FNL
79,FNLA
80,FNT
81,FOBA
82,FPL
83,FPR
84,FROLINAT
85,FRUD
86,FSLN
87,FUNCINPEC/ANS
88,FUNK
89,Faction of SPLM
90,Faction of UPDA
91,Fatah
92,Forces of Carlos Castillo Armas
93,Forest Brothers
94,Frelimo
95,Fretilin
96,Frolina
97,GAM
98,GIA
99,HSM
100,Hamas
101,Hezb-i-Islami
102,Hezb-i-Wahdat
103,Hezbollah
104,Huk
105,INPFL
106,IZL [Etzel]
107,Independent Mining State of South Kasai
108,Independent Nasserite Movement /Mourabitoun militia
109,Indonesian Peoples Army
110,Islamic Charter Front
111,Islamic Legion
112,Istiqlal
113,JSS/SB/Shanti Bahini
114,JVP
115,Jamaat al-Muslimeen
116,Jamiat-i-Islami
117,KDP/DPK
118,KDPI
119,KIO
120,KNF
121,KNPP
122,KNU
123,KPNLF
124,KUFNS
125,Kashmir Insurgents
126,Katanga
127,Khmer Issarak
128,Khmer Rouge
129,Khmer Rouge/PDK
130,LNPA
131,LRA
132,LTS[p]A
133,LTTE
134,LURD
135,Lao Issara
136,Lebanese Army
137,Lebanese Front
138,Lebanese National Movement
139,M-19
140,MCC
141,MDD [-FANT]
142,MDJT
143,MDRM
144,MFDC
145,MILF
146,MIR
147,MIU
148,MJP
149,MLC
150,MLN  or Tupamaros
151,MNA
152,MNF
153,MNLF
154,MNLF (Faction)
155,MNR
156,MOSANAT
157,MPA
158,MPCI
159,MPF
160,MPIGO
161,MPLA
162,MPS
163,MQM
164,MR-13
165,MRTA
166,MTA
167,MTD
168,Mau Mau
169,Monima National Independence Movement
170,Montoneros
171,Movement for Peace in Tajikistan
172,Movimiento 26 De Julio: 26th of July Movement
173,Mujahideen e Khalq
174,Mukti Bahini: Liberation Force
175,Muslim Brotherhood
176,NLF
177,NLFT
178,NMSP
179,NNC
180,NPA
181,NPFL
182,NSCN
183,National Democratic Front
184,National Liberation Army
185,National Revolutionary Council
186,National Salvation Front
187,Naxalites/CPI [-Marxist]
188,Naxalites/PWG
189,Nepali Congress
190,Ninjas
191,North Kalimantan Liberation Army
192,Ntsiloulous
193,OLF
194,ONLF
195,OPM
196,ORPA
197,Opposition alliance
198,Opposition coalition
199,"Opposition coalition [Febreristas, Liberals and Communists]"
200,Opposition militias
201,PAC
202,PAIGC
203,PFLOAG
204,PFLP
205,PFLP-GC
206,PGT
207,PIRA/IRA
208,PKK/Kadek
209,PLA
210,PLOTE
211,PNA
212,PNDF
213,POLISARIO
214,PRRI
215,PRTC
216,PUK
217,Palipehutu
218,Palipehutu-FNL
219,Pathet Lao
220,Peoples Liberation Army
221,Permesta movement
222,Popular Front
223,Popular Revolutionary Movement
224,Puerto Rican Nationalist Party
225,RCD
226,RCD Faction
227,RFDG
228,RUF
229,Real IRA
230,Red Flag Movement
231,Renamo
232,Republic of Abkhazia
233,Republic of Biafra
234,Republic of Chechnya
235,Republic of Dagestan
236,Republic of Kurdistan/KDPI
237,Republic of Nagorno-Karabakh
238,Republic of South Moluccas
239,Republic of South Ossetia
240,Resistance Armee Tunisienne
241,Rohingya Solidarity Organisation
242,Royalists
243,SAIRI
244,SLA/Jungle Commando
245,SNM
246,SPLM
247,SPM
248,SRLP
249,SRRC
250,SSA
251,SSDF
252,SSIA
253,SSNPLO
254,SWAPO
255,Sendero Luminoso
256,Sendero Rojo
257,Serbian Republic of Bosnia and Herzegovina
258,Serbian Republic of Krajina
259,Serbian irregulars
260,Sikh insurgents
261,State of Oman/Free Oman
262,TELO
263,TNV
264,TPLF
265,Tala i al-Fath
266,Taliban
267,Tibet
268,Turkish Cypriots
269,UCK
270,UCK [Ushtria Clirimtare Kombetare: National Liberation Army]
271,UDCM/UPDCA
272,UFLA
273,UFLA Faction
274,UFM/UFDM
275,UFRA
276,UIFSA
277,ULNLF
278,UNITA
279,UNLA
280,UNLF
281,UNRF
282,UPA
283,UPC
284,UPDA
285,UPF
286,UPM/NRA
287,URNG
288,USC
289,USC Faction
290,UTO
291,UWSA
292,Ulimo-J
293,Viet Nam Doc Dong Min Hoi
294,WNBF
295,WSLF
296,ZANU
297,ZAPU
298,Zviadists
299,al-Gamaa al-Islamiyya
300,al-Itahad al-Islami
301,al-Jihad  al-Islamiy
302,al-Qaida [The Base]
